vc,owner,managed_by_csa,env_name,server_group_name,vm_id,uuid,name,overall_status,ip_address,mac_address,datacenter,cluster_compute_resource,resource_pool
JJ,,N,,,vm-6652,4204e0de-cb1b-e2fd-a76c-bc6322eaadb7,CSA32_POC31_OOMerge,null,16.77.19.52,00:50:56:84:7b:1f,CSL-JJ,C2,
AO,,N,,,vm-22571,42248488-56b9-2b2f-712e-f54c743b06ea,CSA32_Testing_5b,null,16.78.122.198,00:50:56:a4:03:f8,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-95,421ff30b-fe30-73d2-4f68-11a027082722,CSA32+OO907,null,10.1.13.45,00:50:56:9f:6b:43,CSL-Cluster,CSL,
JJ,,N,,,vm-5911,4204eb59-4696-1d76-4489-538cb7ef6489,CSA32-1603-PG-Mkt-Demo-Sabi,null,16.77.19.165,00:50:56:84:2a:8d,CSL-JJ,C2,
JJ,,N,,,vm-7022,4204eb59-4696-1d76-4489-538cb7ef6489,CSA32-1603-PG-Mkt-Demo-Sabi,null,16.77.19.165,00:50:56:84:2a:8d,CSL-JJ,C2,
AO,,N,,,vm-13927,4224361e-60ac-5683-c839-772a2309749d,CSA32-847-Template,null,n/a,00:50:56:a4:2c:16,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-255,421f4525-9682-cc85-c518-320f479bc5b7,CSA32-CP1,null,n/a,00:50:56:9f:36:f9,CSL-Cluster,CSL,
cdl,,N,,,vm-438,421f6063-d6a6-c6fa-c6fa-d36783247b3c,CSA32-CP1,null,n/a,00:50:56:9f:07:c2,CSL,CSL-Lab1,
cdl,,N,,,vm-672,421f20c4-a3c3-08c0-d36c-2eabb47ef6f9,CSA32-CP1-LRC-A,null,n/a,00:50:56:9f:24:0d,CSL,CSL-Lab1,
cdl,,N,,,vm-626,421f76f0-4037-50aa-7182-3c8c59d7e16b,CSA32-CP2,null,n/a,00:50:56:9f:66:00,CSL,CSL-Lab1,
cdl,,N,,,vm-498,421ffd22-1708-2e6c-7c59-811ded31a843,csa32-csa4-2663-mig,null,10.1.8.151,00:50:56:9f:61:08,CSL,CSL-Lab1,
cdl,,N,,,vm-459,421f25da-3c11-60c8-0ddf-58e1be4ca6e1,csa32-demo,null,n/a,00:50:56:9f:77:0e,CSL,CSL-Lab1,
cdl,,N,,,vm-466,421fffbf-ed1f-cb4c-a203-bdb632c744a3,csa32-dma-sa,null,10.1.5.219,00:50:56:9f:4d:05,CSL,CSL-Lab1,
cdl,,N,,,vm-440,421f44f2-f502-7db6-0fed-9fd75705738e,CSA32-LRC-A,null,n/a,00:50:56:9f:1d:10,CSL,CSL-Lab1,
cdl,,N,,,vm-442,421fe577-65ff-800b-5906-997fd28fb2cc,CSA32-Market-Demo,null,n/a,00:50:56:9f:01:84,CSL,CSL-Lab1,
AO,,N,,,vm-13893,422441c9-9512-69ba-9aae-727059e0ee78,CSA32-New-VM001,null,16.78.122.218,00:50:56:a4:2c:03,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-596,421fdf21-ee18-979e-0422-39f297e1a6a3,CSA32-OO10,null,n/a,00:50:56:9f:3f:0f,CSL,CSL-Lab1,
AO,,N,,,vm-20016,4224eaa2-01e8-7759-a67a-e4047abca206,CSA32-OO10.01-0826,null,16.78.124.17,00:50:56:a4:79:69,MiniLIT-Unit,Cloud-001,
AO,,N,,,vm-19240,4224846e-4931-0609-fad6-4ad1f2f2768c,CSA32-OO10.01-Template,null,16.78.124.131,00:50:56:a4:25:03,MiniLIT-Unit,Cloud-001,
